Date,NumOfAnimals,average_temp,Precipitation,MonthsInCare,AgeInMonths,Season_Spring,Season_Summer,Season_Fall,Season_Winter,DayOfWeek_Monday,DayOfWeek_Tuesday,DayOfWeek_Wednesday,DayOfWeek_Thursday,DayOfWeek_Friday,DayOfWeek_Saturday,DayOfWeek_Sunday,Species_Barn Cat,Species_Cat,Species_Dog,Species_Lionhead,Species_Rabbit Sh,Species_Species_Kitten
2025-11-07,101,50.0,0.0,0.3,12.0,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False
2025-11-07,101,50.0,0.0,0.3,12.0,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False
2025-11-07,101,50.0,0.0,0.3,12.0,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False
2025-11-07,101,50.0,0.0,0.27,48.0,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2025-11-07,101,50.0,0.0,0.27,4.0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2025-11-07,101,50.0,0.0,0.27,5.0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2025-11-07,101,50.0,0.0,0.27,4.0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2025-11-07,101,50.0,0.0,0.27,4.0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2025-11-07,101,50.0,0.0,0.23,9.0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2025-11-07,101,50.0,0.0,0.2,24.0,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False
2025-11-07,101,50.0,0.0,0.2,4.0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2025-11-07,101,50.0,0.0,0.2,3.25,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2025-11-07,101,50.0,0.0,0.2,4.0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2025-11-07,101,50.0,0.0,0.2,4.0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2025-11-07,101,50.0,0.0,0.2,4.0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2025-11-07,101,50.0,0.0,0.2,3.25,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2025-11-07,101,50.0,0.0,0.2,4.0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2025-11-07,101,50.0,0.0,0.17,25.0,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2025-11-07,101,50.0,0.0,0.17,24.0,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False
2025-11-07,101,50.0,0.0,0.17,48.0,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False
2025-11-07,101,50.0,0.0,0.17,48.0,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False
2025-11-07,101,50.0,0.0,0.13,2.0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2025-11-07,101,50.0,0.0,0.13,7.0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2025-11-07,101,50.0,0.0,0.13,2.0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2025-11-07,101,50.0,0.0,0.1,4.0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2025-11-07,101,50.0,0.0,0.1,19.0,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False
2025-11-07,101,50.0,0.0,0.07,3.0,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2025-11-07,101,50.0,0.0,0.03,18.0,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False
