Date,NumOfAnimals,average_temp,Precipitation,MonthsInCare,AgeInMonths,Season_Spring,Season_Summer,Season_Fall,Season_Winter,DayOfWeek_Monday,DayOfWeek_Tuesday,DayOfWeek_Wednesday,DayOfWeek_Thursday,DayOfWeek_Friday,DayOfWeek_Saturday,DayOfWeek_Sunday,Species_Cat,Species_Dog,Species_Dwarf,Species_Lop-Mini,Species_Rabbit Sh,Species_Species_Kitten,Species_Turtle
2025-07-23,77,66.0,0.0,0.2,13.0,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
2025-07-23,77,66.0,0.0,0.2,2.25,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-07-23,77,66.0,0.0,0.2,2.5,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-07-23,77,66.0,0.0,0.2,2.25,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-07-23,77,66.0,0.0,0.2,2.5,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-07-23,77,66.0,0.0,0.17,3.25,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-07-23,77,66.0,0.0,0.17,3.25,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-07-23,77,66.0,0.0,0.17,0.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-07-23,77,66.0,0.0,0.17,3.25,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-07-23,77,66.0,0.0,0.13,84.0,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
2025-07-23,77,66.0,0.0,0.1,12.0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
2025-07-23,77,66.0,0.0,0.07,2.25,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-07-23,77,66.0,0.0,0.07,2.25,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-07-23,77,66.0,0.0,0.07,2.25,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-07-23,77,66.0,0.0,0.07,2.25,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-07-23,77,66.0,0.0,0.07,2.25,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-07-23,77,66.0,0.0,0.07,3.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-07-23,77,66.0,0.0,0.07,3.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-07-23,77,66.0,0.0,0.07,2.25,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-07-23,77,66.0,0.0,0.07,3.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-07-23,77,66.0,0.0,0.07,2.25,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
