Date,NumOfAnimals,average_temp,Precipitation,MonthsInCare,AgeInMonths,Season_Spring,Season_Summer,Season_Fall,Season_Winter,DayOfWeek_Monday,DayOfWeek_Tuesday,DayOfWeek_Wednesday,DayOfWeek_Thursday,DayOfWeek_Friday,DayOfWeek_Saturday,DayOfWeek_Sunday,Species_Barn Cat,Species_Bird,Species_Cat,Species_Dog,Species_Lionhead,Species_Lop-Holland,Species_Rabbit Sh,Species_Species_Kitten
2025-11-10,99,51.0,0.0,0.37,12.0,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2025-11-10,99,51.0,0.0,0.3,8.0,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2025-11-10,99,51.0,0.0,0.3,24.0,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2025-11-10,99,51.0,0.0,0.3,3.5,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2025-11-10,99,51.0,0.0,0.27,24.0,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2025-11-10,99,51.0,0.0,0.27,12.0,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2025-11-10,99,51.0,0.0,0.27,24.0,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2025-11-10,99,51.0,0.0,0.27,48.0,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2025-11-10,99,51.0,0.0,0.27,50.0,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2025-11-10,99,51.0,0.0,0.27,48.0,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2025-11-10,99,51.0,0.0,0.27,25.0,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2025-11-10,99,51.0,0.0,0.27,72.0,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2025-11-10,99,51.0,0.0,0.23,36.0,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2025-11-10,99,51.0,0.0,0.2,0.0,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2025-11-10,99,51.0,0.0,0.2,72.0,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2025-11-10,99,51.0,0.0,0.2,0.0,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2025-11-10,99,51.0,0.0,0.2,0.0,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2025-11-10,99,51.0,0.0,0.2,0.0,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2025-11-10,99,51.0,0.0,0.2,0.0,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2025-11-10,99,51.0,0.0,0.2,4.0,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2025-11-10,99,51.0,0.0,0.2,24.0,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2025-11-10,99,51.0,0.0,0.17,12.0,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2025-11-10,99,51.0,0.0,0.17,12.0,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2025-11-10,99,51.0,0.0,0.13,18.0,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2025-11-10,99,51.0,0.0,0.1,8.0,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2025-11-10,99,51.0,0.0,0.1,2.75,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2025-11-10,99,51.0,0.0,0.07,25.0,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2025-11-10,99,51.0,0.0,0.07,8.0,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2025-11-10,99,51.0,0.0,0.07,48.0,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2025-11-10,99,51.0,0.0,0.03,48.0,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
