Date,NumOfAnimals,average_temp,Precipitation,MonthsInCare,AgeInMonths,Season_Spring,Season_Summer,Season_Fall,Season_Winter,DayOfWeek_Monday,DayOfWeek_Tuesday,DayOfWeek_Wednesday,DayOfWeek_Thursday,DayOfWeek_Friday,DayOfWeek_Saturday,DayOfWeek_Sunday,Species_Barn Cat,Species_Bird,Species_Cat,Species_Dog,Species_Guinea Pig,Species_Rabbit Sh,Species_Species_Kitten
2025-10-12,91,53.0,0.0,0.27,5.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-10-12,91,53.0,0.0,0.27,36.0,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
2025-10-12,91,53.0,0.0,0.23,87.0,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
2025-10-12,91,53.0,0.0,0.23,120.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2025-10-12,91,53.0,0.0,0.23,12.0,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
2025-10-12,91,53.0,0.0,0.23,96.0,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
2025-10-12,91,53.0,0.0,0.23,12.0,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
2025-10-12,91,53.0,0.0,0.23,118.0,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
2025-10-12,91,53.0,0.0,0.2,17.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2025-10-12,91,53.0,0.0,0.2,24.0,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
2025-10-12,91,53.0,0.0,0.2,8.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2025-10-12,91,53.0,0.0,0.17,36.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2025-10-12,91,53.0,0.0,0.17,21.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2025-10-12,91,53.0,0.0,0.13,2.25,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-10-12,91,53.0,0.0,0.13,5.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-10-12,91,53.0,0.0,0.13,2.25,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
