Date,NumOfAnimals,average_temp,Precipitation,MonthsInCare,AgeInMonths,Season_Spring,Season_Summer,Season_Fall,Season_Winter,DayOfWeek_Monday,DayOfWeek_Tuesday,DayOfWeek_Wednesday,DayOfWeek_Thursday,DayOfWeek_Friday,DayOfWeek_Saturday,DayOfWeek_Sunday,Species_Barn Cat,Species_Cat,Species_Dog,Species_Guinea Pig,Species_Lionhead,Species_Lop-Holland,Species_Rabbit Sh,Species_Species_Kitten
2025-10-24,104,52.0,0.0,0.33,7.0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-10-24,104,52.0,0.0,0.3,12.0,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
2025-10-24,104,52.0,0.0,0.3,24.0,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
2025-10-24,104,52.0,0.0,0.27,12.0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-10-24,104,52.0,0.0,0.27,5.0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-10-24,104,52.0,0.0,0.27,12.0,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
2025-10-24,104,52.0,0.0,0.27,24.0,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
2025-10-24,104,52.0,0.0,0.27,5.0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-10-24,104,52.0,0.0,0.23,106.0,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
2025-10-24,104,52.0,0.0,0.23,3.25,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-10-24,104,52.0,0.0,0.23,25.0,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
2025-10-24,104,52.0,0.0,0.23,8.0,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
