Date,NumOfAnimals,average_temp,Precipitation,MonthsInCare,AgeInMonths,Season_Spring,Season_Summer,Season_Fall,Season_Winter,DayOfWeek_Monday,DayOfWeek_Tuesday,DayOfWeek_Wednesday,DayOfWeek_Thursday,DayOfWeek_Friday,DayOfWeek_Saturday,DayOfWeek_Sunday,Species_Barn Cat,Species_Cat,Species_Dog,Species_Lionhead,Species_Lop-Holland,Species_Rabbit Sh,Species_Species_Kitten
2025-11-09,108,51.0,0.0,0.27,24.0,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
2025-11-09,108,51.0,0.0,0.27,8.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-11-09,108,51.0,0.0,0.27,4.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-11-09,108,51.0,0.0,0.27,3.5,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-11-09,108,51.0,0.0,0.27,4.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-11-09,108,51.0,0.0,0.23,24.0,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
2025-11-09,108,51.0,0.0,0.23,48.0,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
2025-11-09,108,51.0,0.0,0.23,25.0,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
2025-11-09,108,51.0,0.0,0.23,30.0,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
2025-11-09,108,51.0,0.0,0.23,48.0,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
2025-11-09,108,51.0,0.0,0.23,60.0,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
2025-11-09,108,51.0,0.0,0.23,24.0,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
2025-11-09,108,51.0,0.0,0.23,12.0,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
2025-11-09,108,51.0,0.0,0.23,72.0,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
2025-11-09,108,51.0,0.0,0.17,4.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-11-09,108,51.0,0.0,0.17,36.0,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
2025-11-09,108,51.0,0.0,0.17,72.0,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
2025-11-09,108,51.0,0.0,0.13,12.0,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
2025-11-09,108,51.0,0.0,0.13,12.0,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
2025-11-09,108,51.0,0.0,0.13,12.0,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
2025-11-09,108,51.0,0.0,0.1,18.0,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
2025-11-09,108,51.0,0.0,0.07,8.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-11-09,108,51.0,0.0,0.07,2.5,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-11-09,108,51.0,0.0,0.03,25.0,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
2025-11-09,108,51.0,0.0,0.03,8.0,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
2025-11-09,108,51.0,0.0,0.03,2.75,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-11-09,108,51.0,0.0,0.03,2.75,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-11-09,108,51.0,0.0,0.03,48.0,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
