Date,NumOfAnimals,average_temp,Precipitation,MonthsInCare,AgeInMonths,Season_Spring,Season_Summer,Season_Fall,Season_Winter,DayOfWeek_Monday,DayOfWeek_Tuesday,DayOfWeek_Wednesday,DayOfWeek_Thursday,DayOfWeek_Friday,DayOfWeek_Saturday,DayOfWeek_Sunday,Species_Barn Cat,Species_Cat,Species_Dog,Species_Mouse,Species_Rabbit Sh,Species_Species_Kitten
2025-06-29,79,63.0,0.0,0.13,2.25,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2025-06-29,79,63.0,0.0,0.13,2.5,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2025-06-29,79,63.0,0.0,0.13,25.0,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2025-06-29,79,63.0,0.0,0.13,28.0,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
2025-06-29,79,63.0,0.0,0.1,2.75,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2025-06-29,79,63.0,0.0,0.1,6.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2025-06-29,79,63.0,0.0,0.1,2.75,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2025-06-29,79,63.0,0.0,0.1,2.75,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2025-06-29,79,63.0,0.0,0.1,12.0,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
2025-06-29,79,63.0,0.0,0.07,2.25,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2025-06-29,79,63.0,0.0,0.07,2.5,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2025-06-29,79,63.0,0.0,0.07,37.0,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
2025-06-29,79,63.0,0.0,0.07,2.5,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2025-06-29,79,63.0,0.0,0.03,5.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2025-06-29,79,63.0,0.0,0.03,60.0,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
